id,human_readable_id,description,weight,combined_degree,text_unit_ids,:START_ID,:END_ID,:TYPE
4994b4c4-d51b-496b-b2d8-b3e197668dc3,0,实体“绿色饭店建筑评价标准”是一部规范性文件。该标准包含条款 1，该条款归属于标准的第一章，并被明确界定为“总则”部分，确立了该评价标准的总体原则和基础框架。,20.0,27,"['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'
 '55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13']",f0f0ac98-c434-47e6-b1d1-1e3d9c6a096e,0ea10fc8-8a2f-4983-9443-e685739f449d,RELATED_TO
5415dacb-72d4-4d1e-9263-4ea513b2ebc1,1,实体“1”隶属于《绿色办公建筑评价标准》，具体位于该标准的第一章。作为规范中的“总则”部分，条款 1 确立了《绿色办公建筑评价标准》的基础框架与总体规定。,20.0,22,"['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'
 '55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13']",f0f0ac98-c434-47e6-b1d1-1e3d9c6a096e,1e4b7696-a1d3-467f-8e43-0b33b876c1e0,RELATED_TO
2099392c-9bd8-4682-8897-55aaa0a3b543,2,约束规则 RULE_1_01 来源于绿色建筑评价标准中的条款 1（总则），构成了该条款的核心内容。作为一项基础性的评价标准实体，RULE_1_01 由条款 1 正式定义，其主要功能在于界定评价标准的适用范围。特别地，该规则明确了针对饭店建筑的适用性边界，确立了对此类建筑进行绿色评价的前提条件。通过划定这一范围，RULE_1_01 为后续涉及节能、节水、节材、室内环境质量、节地与室外环境以及运营管理等具体指标的综合评价奠定了基础，确保了评价工作在正确的建筑对象上规范开展。,38.0,14,"['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'
 '55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'
 'b8122e921d51b754d77901204cdd6d55604a342c73e0c66a76820aa3a5f79e4ff96c35e705192a8253714c7b603c4c0e6914ccc63e11c641c8e4767ba1e8242c'
 'fe730cb1aaf83d838bb60e1a31534cf74eea661c187f524c839a7c6d536f52fabc9b8c2e4c136478a92266f44928c94cce6d6b80ef11ebfd53ea3c9634126f87']",f0f0ac98-c434-47e6-b1d1-1e3d9c6a096e,dd77d13c-659e-42db-95ec-0479d266c893,RELATED_TO
bb89faf0-122b-4d12-b6af-5ba26bff2605,3,实体“1”作为绿色建筑评价标准中的总则条款，与约束规则“RULE_1_02”存在直接的定义与派生关系。RULE_1_02 不仅源于条款 1，更是该条款的核心组成部分。该规则的主要职能在于确立评价标准的适用边界，由条款 1 明确定义，具体界定了针对各类办公建筑的适用范围。作为评价标准体系中的基础性规定，它为后续实施节能、节水、节材、室内环境质量及运营管理等方面的具体评价提供了明确的对象依据和适用前提。,19.0,16,"['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'
 '55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'
 'b8122e921d51b754d77901204cdd6d55604a342c73e0c66a76820aa3a5f79e4ff96c35e705192a8253714c7b603c4c0e6914ccc63e11c641c8e4767ba1e8242c']",f0f0ac98-c434-47e6-b1d1-1e3d9c6a096e,bad7f8a0-81ad-4a99-b863-10c458e5731b,RELATED_TO
e678504f-4f56-43e2-b4c4-588e17576835,4,绿色饭店建筑是《绿色饭店建筑评价标准》的主要描述对象和核心评估实体。该评价标准明确适用于绿色饭店建筑，规定了其必须符合的各项标准要求。作为被评估对象，绿色饭店建筑需依据《绿色饭店建筑评价标准》进行考量，确保满足标准中界定的各项规范与指标。,29.0,78,"['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'
 '55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'
 '68ef685aa50cda1e8bf1572a97aa4311f6e8de6eb7dbb67a861d96334e9224237f8f0fa09b52cd6ed6e45088a531cc363b071e74eece7efa8041ae394cfea497']",31576b3e-46de-4a02-9672-bc48d71937a8,0ea10fc8-8a2f-4983-9443-e685739f449d,RELATED_TO
0f2df43b-14c2-4a84-82f9-706589ca7c45,5,绿色饭店建筑是评价属性的作用对象,9.0,59,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],31576b3e-46de-4a02-9672-bc48d71937a8,69a34534-2aef-461f-aa89-9f23729d69f9,RELATED_TO
5d1db24b-eada-4a15-b080-f5e35a036910,6,办公建筑是该评价标准的评估对象，需符合标准要求,1.0,58,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],90fd7c5b-6938-4d2e-8d1a-4b17056869a0,1e4b7696-a1d3-467f-8e43-0b33b876c1e0,RELATED_TO
dcb4694a-ee4d-4f9c-a4b3-2be085a0ef98,7,办公建筑是评价属性的作用对象,9.0,44,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],90fd7c5b-6938-4d2e-8d1a-4b17056869a0,69a34534-2aef-461f-aa89-9f23729d69f9,RELATED_TO
a4586fc3-582e-4594-ab61-07a9460e24fe,8,环境是 rule_1_01 中明确指出的保护对象,9.0,10,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],ff31c611-12db-411e-984d-e025fcc6ce08,dd77d13c-659e-42db-95ec-0479d266c893,RELATED_TO
345b4620-7a0b-409b-8339-b164f5b4393d,9,资源是 rule_1_01 中明确指出的节约对象,9.0,11,['8b9050c781c687b23cd78eea66a0a5724a9134c312f4be04195df55fa493eee792b9bb2911307fafd982b1efb0bbab346e5a9005af6b550fac2ca3f381a5cbdd'],dd77d13c-659e-42db-95ec-0479d266c893,23debe32-e134-4199-8c6f-46eca18bb188,RELATED_TO
8530a866-8508-42ca-95f3-e8a3a50d262d,10,条款 1 明确定义了标准的适用范围,9.0,7,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],f0f0ac98-c434-47e6-b1d1-1e3d9c6a096e,617079ee-6ff1-4002-8307-b333a44ec76f,RELATED_TO
32b4b4ba-8260-48b4-85e1-94a3d453f464,11,绿色饭店建筑作为本次评价的核心实体，明确被界定为 RULE_1_01 规定的适用评价对象。在进行绿色建筑评价体系的考核时，绿色饭店建筑必须严格受 RULE_1_01 的约束与规范。这意味着该类建筑在全寿命周期内的规划、建设及运营管理，均需符合 RULE_1_01 中所确立的多项综合标准与要求，以确保其满足绿色建筑的评价准则。,19.0,65,"['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'
 'fe730cb1aaf83d838bb60e1a31534cf74eea661c187f524c839a7c6d536f52fabc9b8c2e4c136478a92266f44928c94cce6d6b80ef11ebfd53ea3c9634126f87']",31576b3e-46de-4a02-9672-bc48d71937a8,dd77d13c-659e-42db-95ec-0479d266c893,RELATED_TO
9b440979-860d-4c2e-b208-c1a69b9e5328,12,政府办公建筑是 rule_1_02 规定的适用评价对象之一,9.0,15,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],f9d01f1f-39db-4215-a3b9-f1ba4e1c4337,bad7f8a0-81ad-4a99-b863-10c458e5731b,RELATED_TO
8f60742b-03fa-4dce-b8e2-20100afa64dc,13,政府办公建筑的评价需明确评价阶段（设计/运行）,8.0,9,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],f9d01f1f-39db-4215-a3b9-f1ba4e1c4337,8ed8f0d0-58a3-4995-9119-d6eb3a6c9930,RELATED_TO
2110167f-57df-43a1-8af3-606df4fbe29a,14,政府办公建筑的评价需明确建设性质（新建/改建/扩建）,1.0,6,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],f9d01f1f-39db-4215-a3b9-f1ba4e1c4337,a4b3cfbc-44b7-44b0-91fe-468194eca439,RELATED_TO
3018157d-0ec3-4abc-a1a2-b47303b8d402,15,《绿色办公建筑评价标准》适用于政府办公建筑,10.0,21,['55fb0117e01fe901fe27d0a1038266fbdc9d8bbd2e07bacbf2a1e861fc68f732b65c9d962a22f556b676ace57718c9b090f1933c1fd6d20544826c532d943d13'],f9d01f1f-39db-4215-a3b9-f1ba4e1c4337,1e4b7696-a1d3-467f-8e43-0b33b876c1e0,RELATED_TO
