id,human_readable_id,description,weight,combined_degree,text_unit_ids,:START_ID,:END_ID,:TYPE
f1a35e16-4eb1-457d-915f-a86eeadedefe,0,约束规则 rule_2.1.1_01 来源于条款 2.1.1,45.0,11,"['0afacb3f14fe5ff842310f913185e94681501b0be0438befd322872fe3633b00f26a92bb1dd89b5bbddbd941b08db27d8e078ea266d2cb912f3a2063c2d77ee3', '4493990c32991970c015cc6652b34e3c83a647e1e8001a95831e61850a539fcf32dd1ba18b18c97c3760300b741d8954aa0d0dc759d326c7d25695cf9942ef5b', '45ea74a9045adf9821adfbbfb20aab62c0debf4d25d9d7c04e5a59a7d49b434b40efa7f1ceaf725c2b0471360db7d0327c4b8f0b131b03a80dda2d326ec8de17', '84453cc8f531cbc2b845b2298d4d0a54875ed180120de0683034a91aa8b2ac2692446f94ae8582a1d06cd0a2122c299cd36a4be4f43f197855b2bbc86070744d']",d7b6045c-163c-4378-925a-bc279c6c4613,3a374d11-8b68-46d9-9d2f-df625fd04f54,RELATED_TO
f7a19bfa-8f0c-4ce3-a41a-2c5fc2d9ce01,1,无障碍通行设施是绿色建筑设计中的关键组成部分之一，其设计和实施需充分考虑使用的便利性和安全性。其中，净宽作为一个重要的属性，对于无障碍通行设施而言至关重要。净宽的要求旨在确保所有用户，特别是行动不便者，能够顺畅、安全地通过，从而提高建筑的可达性和包容性。虽然具体数值可能根据国家或地区的规范有所不同，但通常会设定最低标准以保证即使是在使用辅助设备（如轮椅）的情况下也能轻松通过。这样的设计不仅提升了建筑物的整体使用体验，也体现了对不同需求人群的关怀与尊重，是实现绿色建筑中“以人为本”理念的重要体现。然而，需要注意的是，上述描述主要集中在无障碍通行设施的净宽要求上，对于节能、节水、节材等方面的直接关联性并未提及，因此在综合考虑绿色建筑评价标准时，还需全面考虑其他相关因素，如建筑材料的选择、能源利用效率等，以确保项目符合更加广泛意义上的可持续发展要求。,28.0,45,"['0afacb3f14fe5ff842310f913185e94681501b0be0438befd322872fe3633b00f26a92bb1dd89b5bbddbd941b08db27d8e078ea266d2cb912f3a2063c2d77ee3', '2f791b14dd0c38f0a46660d9f7972e641ab7471db5e4118dd512d85094ffce24a5e3689dd33f3e6258b7653ecf936b3ca0a5cdc15ead79bd3d7b49543f683b2d']",7daa51ff-eb09-4477-9f8a-31a90039203d,3844b194-70fa-4e10-839d-67cb40f580ac,RELATED_TO
7e29d530-efd8-43e0-ae82-4423f3e20dc5,2,"《建筑与市政工程无障碍通用规范》是一份重要的文件，旨在确保建筑及市政工程项目能够为所有人，包括残障人士，提供无障碍的使用环境。该规范中的条款 1.0.1 是其中的一部分，它设定了无障碍设计的基本原则和要求，强调了在整个设计、施工及运营过程中需考虑无障碍性的必要性。然而，根据给定的描述，对于条款 1.0.1 的具体内容没有详细说明，仅指出了其存在以及来源。因此，可以总结为：《建筑与市政工程无障碍通用规范》包含了一个编号为 1.0.1 的条款，该条款源自于这份规范本身，旨在指导如何在建筑与市政工程中实现无障碍设计，以促进更加包容的社会环境。

注意：由于提供的描述信息量有限，且没有涉及到节能、节水、节材等绿色建筑评价标准的具体要求，故无法提供更多关于这些方面的详细信息。此外，描述中也没有提到室内环境质量、节地与室外环境、运营管理、评价标准和评分方法等绿色建筑评价的关键要素。因此，上述综合描述主要集中在无障碍性方面，这是基于现有描述所能提供的最全面的信息总结。",29.0,22,"['831490aa2d16ed8db8ecf65e9dfde091457303b9176ba805f07ff8f8e4f928bad42e704006ad51c894ec24cbb39b0a3852a563d80d0afd1d79fd759c52e28092', 'f9ec206fc8805a5b88e1b08e097cfaf472316d1625a3035d5e9fc9a61cb3f42097282a286fcf2420f4fc2d75bb382f6f1256e4e7b731e546efa195974ddcc5eb', '7eced5fdf41a991ee1029f257b05cf953df1fb9ba119b760c72bed34f8019b9581438bc49ed6000af99459d5753ab65a034b1eb50a65714467a55f29bef11add']",47438f2a-ea54-4d29-84af-46fe0946e23d,2d80d65d-fae2-4e6a-85a3-1f018d635cc5,RELATED_TO
3f7155c3-57be-4339-8c74-596c9304ada3,3,《建筑与市政工程无障碍通用规范》是针对无障碍设施设计和建设的重要标准，旨在确保各类建筑及市政工程能够满足残障人士、老年人以及其他行动不便者的需求。该规范详细规定了无障碍设施的设置要求，包括但不限于入口、通道、卫生间、电梯、扶手等关键部位的设计标准。特别强调了这些设施的可达性、安全性与使用便捷性。尽管此规范主要聚焦于无障碍设施，但其部分内容也间接支持了节能、节水、节材等方面的要求，例如通过提倡使用环保材料和节能设备来提升无障碍设施的可持续性。此外，该规范还关注室内环境质量，确保无障碍设施所在的环境舒适、健康。在节地与室外环境方面，《建筑与市政工程无障碍通用规范》提倡合理规划用地，减少对自然环境的影响，同时保证无障碍设施的布局满足使用者的实际需求。在运营管理方面，规范鼓励建立有效的维护机制，确保无障碍设施长期保持良好的使用状态。评价标准和评分方法方面，虽然《建筑与市政工程无障碍通用规范》本身不直接提供具体的评分体系，但它为无障碍设施的评估提供了基础框架，支持其他评价体系在此基础上进行细化和发展。总体而言，《建筑与市政工程无障碍通用规范》通过全面覆盖无障碍设施的设计、施工到运营维护全过程，为创建更加包容、可持续的建筑环境提供了重要指导。,31.0,100,"['831490aa2d16ed8db8ecf65e9dfde091457303b9176ba805f07ff8f8e4f928bad42e704006ad51c894ec24cbb39b0a3852a563d80d0afd1d79fd759c52e28092', 'f8bc1b273d7da7ea83176f049f6b942adb653be49f6e61a8825e8c04cc62bd6abf66c5c9a04869ee7394973ab7b1e900c41fb67dddb5978c441b3442f19fd493']",47438f2a-ea54-4d29-84af-46fe0946e23d,c51f225d-3641-47bc-9bc6-4939949c30d7,RELATED_TO
bfd6437d-bab0-4fc4-b6b8-3255cf172e04,4,无障碍设施的建设和运行维护受到约束规则 RULE_1.0.1_01 的严格限制，该规则作为一条强制性要求，对无障碍设施从设计到使用的全过程提出了基本原则。这些原则旨在确保建筑能够为所有用户提供安全、便利的使用体验，特别是对于残障人士而言，无障碍设施的设计与维护更是至关重要。通过遵循这些原则，可以促进社会包容性，提高建筑的整体可达性和用户满意度。虽然 RULE_1.0.1_01 主要关注的是无障碍设施，但它也间接支持了绿色建筑评价标准中的多个方面，比如通过优化设计减少不必要的材料使用（节材），以及通过提高建筑的可达性来促进更有效的空间利用（节地与室外环境）。此外，良好的无障碍设施还能提升室内环境质量，确保每个人都能在舒适、健康的环境中生活或工作。尽管此规则未直接提及节能、节水或运营管理的具体措施，但其实施有助于创建一个更全面考虑了用户需求的建筑环境，从而间接促进了绿色建筑目标的实现。,29.0,93,"['831490aa2d16ed8db8ecf65e9dfde091457303b9176ba805f07ff8f8e4f928bad42e704006ad51c894ec24cbb39b0a3852a563d80d0afd1d79fd759c52e28092', 'a25bceccb147d73550b8261a027289d44fd3f2041964e272c946f23683131eeb99c70d03f2685c654056e1270858e9b3790376ea4fac1cf175ae0f62a8c2540b']",c51f225d-3641-47bc-9bc6-4939949c30d7,c42a477a-f37e-42bb-a8df-15033fd8f3b0,RELATED_TO
1c82ffe2-8b9b-42a6-86d5-123edbc934b6,5,"无障碍设施是绿色建筑评价标准中的一个重要组成部分，它不仅关注于建筑的设计阶段，还贯穿了建设和运行维护的全过程。无障碍设施的建设和运行维护管理旨在确保所有使用者，包括残疾人士和老年人，能够安全、方便地使用建筑内的设施。为了满足绿色建筑评价标准，在无障碍设施的建设和运行维护中，需要采取一系列措施来提高建筑的整体性能，这些措施主要覆盖了以下几个方面：

- **节能要求**：无障碍设施的设计应考虑采用节能材料和技术，比如使用低能耗的照明系统和高效的保温隔热材料，以减少能源消耗，同时确保这些设施易于维护和升级，以适应未来可能的节能技术进步。

- **节水要求**：无障碍卫生间等设施应安装节水型器具，如节水马桶和感应式水龙头，同时合理规划给排水系统，避免水资源浪费。

- **节材要求**：在无障碍设施的材料选择上，应优先考虑使用可再生或回收材料，并且在设计时考虑材料的耐用性和可维护性，延长其使用寿命，减少废弃物产生。

- **室内环境质量**：无障碍设施必须保证良好的通风条件，使用低挥发性有机化合物（VOC）材料，以提升室内空气质量；同时，通过合理的布局设计，确保足够的自然光照，改善室内环境的舒适度。

- **节地与室外环境**：无障碍通道的设计应当考虑与周边环境的和谐共存，比如设置无障碍坡道时兼顾美观与实用性，不占用过多土地资源，并且在可能的情况下，采用绿色植被覆盖等手段增加生态效益。

- **运营管理**：无障碍设施的日常管理应包括定期的安全检查和维护工作，确保设施始终处于良好状态；同时，通过培训员工提高对无障碍设计理念的认识，增强其服务意识。

综上所述，无障碍设施的建设和运行维护是绿色建筑评价体系中的关键环节之一，它不仅体现了对弱势群体的关怀，也促进了资源的高效利用和环境保护。",27.0,92,"['831490aa2d16ed8db8ecf65e9dfde091457303b9176ba805f07ff8f8e4f928bad42e704006ad51c894ec24cbb39b0a3852a563d80d0afd1d79fd759c52e28092', 'a25bceccb147d73550b8261a027289d44fd3f2041964e272c946f23683131eeb99c70d03f2685c654056e1270858e9b3790376ea4fac1cf175ae0f62a8c2540b']",c51f225d-3641-47bc-9bc6-4939949c30d7,71bdd736-2dbb-4c6c-a66a-3074ea8f139f,RELATED_TO
ec9f084a-2fd9-40d6-83c3-221873908e75,6,约束规则 rule_1.0.1_01 来源于条款 1.0.1,36.0,15,"['831490aa2d16ed8db8ecf65e9dfde091457303b9176ba805f07ff8f8e4f928bad42e704006ad51c894ec24cbb39b0a3852a563d80d0afd1d79fd759c52e28092', 'a25bceccb147d73550b8261a027289d44fd3f2041964e272c946f23683131eeb99c70d03f2685c654056e1270858e9b3790376ea4fac1cf175ae0f62a8c2540b']",c42a477a-f37e-42bb-a8df-15033fd8f3b0,2d80d65d-fae2-4e6a-85a3-1f018d635cc5,RELATED_TO
8212fab0-6ac4-4c8a-b0c5-59033b78d9c6,7,无障碍设施的设计阶段是建设和运行维护的一部分,8.0,91,['a25bceccb147d73550b8261a027289d44fd3f2041964e272c946f23683131eeb99c70d03f2685c654056e1270858e9b3790376ea4fac1cf175ae0f62a8c2540b'],c51f225d-3641-47bc-9bc6-4939949c30d7,a5545231-62e3-4926-83fc-36b990cb40e1,RELATED_TO
5f30516f-6526-45d8-a153-e16f4b63a4f7,8,无障碍设施的施工阶段是建设和运行维护的一部分,8.0,90,['a25bceccb147d73550b8261a027289d44fd3f2041964e272c946f23683131eeb99c70d03f2685c654056e1270858e9b3790376ea4fac1cf175ae0f62a8c2540b'],c51f225d-3641-47bc-9bc6-4939949c30d7,a841dab2-b2cc-4664-a26e-eeabbc846ba2,RELATED_TO
b231f910-d453-4b7d-ab6d-63a23b93a5c9,9,无障碍设施的验收阶段是建设和运行维护的一部分,8.0,89,['a25bceccb147d73550b8261a027289d44fd3f2041964e272c946f23683131eeb99c70d03f2685c654056e1270858e9b3790376ea4fac1cf175ae0f62a8c2540b'],c51f225d-3641-47bc-9bc6-4939949c30d7,effb6412-360a-49a8-9192-b674a7e8cc55,RELATED_TO
