:ID,human_readable_id,title,description,text_unit_ids,frequency,degree,x,y,:LABEL
3c0f12ca-48a3-449b-a384-37a0dcd7d9f1,0,厂房建筑主要构配件和组合件的几何尺寸,指厂房建筑中主要的构配件和组合件应符合的几何尺寸要求，以实现标准化和系列化,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,1,0.0,0.0,ATTRIBUTE
16d3684c-d687-4667-a8a3-d3be97817d82,1,建筑模数,建筑模数是在建筑设计和施工中使用的一种标准化尺寸单位，用于尺寸协调。这套标准化尺寸系统旨在促进构件的标准化和系列化，便于工业化生产。通过采用建筑模数，可以实现设计与施工过程中的高效配合，确保各种构件和部分之间的精确匹配，从而提高建筑项目的整体质量和施工效率。,"['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'
 'f531103690a8297d24de47c101dadbb776d84948f13143ec88ecd85ad0e49c0e834bbe5f5af67b70831ea38d8b280ec28bcf5cf88a8a9f542b02be7ffcd46475']",2,7,0.0,0.0,ATTRIBUTE
7c83b7bd-d434-4ef2-a5d8-6fd653e45d32,2,工业化生产,指采用工业化方法生产建筑构件和组合件的过程，包括使用标准化、系列化的产品以提高生产效率和质量,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,1,0.0,0.0,OBJECT
bbb0144a-9bc9-4322-9806-6f8cc5f52ceb,3,柱顶面与柱顶标高的一致性,柱顶面应与柱顶标高相重合，确保建筑结构的准确性和稳定性,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,1,0.0,0.0,CONSTRAINT
592aca82-a22a-42a8-9d8d-a3ba40a1e581,4,安全防范工程建设程序,安全防范工程建设程序是指从项目立项到系统运行维护等一系列步骤，这包括了安全防范工程的设计、施工、监理、检验、验收、运行、维护以及咨询服务的全过程。该程序旨在提高建设质量和系统运行维护水平，确保安全防范措施得到有效实施，从而保障建筑物的安全性和功能性。通过综合考虑各个阶段的要求和标准，安全防范工程建设程序为项目的顺利完成提供了全面的指导和支持。,"['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'
 'e66fa76f7cd11053b24391088061d60131b58d12976c86fa13dc9909a175ac93460b98bfeb90243c5d3988b7bf252c042a9b32f0edcbeebef3d2e9141541bb3f']",2,8,0.0,0.0,OBJECT
7c77e460-fd66-48e5-9b7e-7d931c8a9709,5,安全防范工程建设质量,安全防范工程建设过程中达到的质量标准，包括设计、施工、监理、检验、验收等各个环节的质量要求,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,2,0.0,0.0,ATTRIBUTE
3b522f9c-6051-48fa-b744-25c9f156722b,6,人身安全和财产安全,安全防范工程建设和运行的主要保护对象，包括保护人员不受伤害和财产不受损失,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,2,0.0,0.0,OBJECT
f4235469-9f3c-4c9b-8ef7-fddd4a3eca53,7,社会安全稳定,通过提高安全防范工程建设质量和系统运行、维护水平，维护的社会公共安全和秩序稳定,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,2,0.0,0.0,OBJECT
d5a7acab-567d-456b-bba7-0c597446ea7d,8,标准化,"""标准化""是一个涉及建筑领域的重要概念，它要求实体防护系统或设施以及建筑构配件、组合件在设计和生产过程中遵循统一的标准。这一要求旨在确保各个环节达到一定的统一性，从而提高整体的效率和质量。通过实施标准化，可以确保建筑项目在安全性、可靠性以及功能性方面满足预定的标准，同时也有助于简化生产流程和降低成本。总的来说，""标准化""强调在建筑设计和生产的各个阶段实施统一标准，以促进建筑行业的健康发展。","['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'
 'e3e2a841d8ef1ae17f4dc978b211e68c807abae03269b09e81b0af09a656994da5324015bc1ceb48991c5393903d72129cb00ed20c55cb09096d392853e99db8']",2,2,0.0,0.0,ATTRIBUTE
4afe48f9-5b99-4925-82a9-9d9374a736cd,9,系列化,指按照一定的分类和规格，将建筑构配件、组合件进行系统化生产的过程，以实现规模化生产和应用,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,1,0.0,0.0,ATTRIBUTE
a00df813-54e1-4fe6-8139-2c5e44515905,10,模数协调,指建筑设计和施工过程中，各主要构配件、组合件的尺寸需符合建筑模数的要求，以确保整体的标准化和系列化,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],1,5,0.0,0.0,CONSTRAINT
