id,human_readable_id,description,weight,combined_degree,text_unit_ids,:START_ID,:END_ID,:TYPE
eb4a5707-73c0-4690-a052-08774d7d4b7e,0,厂房建筑的主要构配件和组合件的几何尺寸应符合建筑模数，以实现标准化和系列化,9.0,8,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],3c0f12ca-48a3-449b-a384-37a0dcd7d9f1,16d3684c-d687-4667-a8a3-d3be97817d82,RELATED_TO
d361a614-d177-4534-928e-f573bbf51eee,1,建筑模数的使用有利于工业化生产，促进构件的标准化和系列化,8.0,8,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],16d3684c-d687-4667-a8a3-d3be97817d82,7c83b7bd-d434-4ef2-a5d8-6fd653e45d32,RELATED_TO
2b73691b-b300-4f99-be50-9452074cb85e,2,模数协调要求建筑的主要构配件和组合件的尺寸符合建筑模数，以实现标准化和系列化,10.0,12,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],16d3684c-d687-4667-a8a3-d3be97817d82,a00df813-54e1-4fe6-8139-2c5e44515905,RELATED_TO
e870c45d-a355-406b-9d60-2d742a39d0d8,3,柱顶面与柱顶标高的一致性是安全防范工程建设中的一个重要质量要求,7.0,9,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],bbb0144a-9bc9-4322-9806-6f8cc5f52ceb,592aca82-a22a-42a8-9d8d-a3ba40a1e581,RELATED_TO
175a6fba-ac7e-496e-b9f5-f4b20ece18e1,4,安全防范工程建设程序的规范化是提高安全防范工程建设质量的关键,9.0,10,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],592aca82-a22a-42a8-9d8d-a3ba40a1e581,7c77e460-fd66-48e5-9b7e-7d931c8a9709,RELATED_TO
93e4a24d-ef24-42b2-b7e2-b66f7545234c,5,提高安全防范工程建设质量是保护人身安全和财产安全的基础,10.0,4,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],7c77e460-fd66-48e5-9b7e-7d931c8a9709,3b522f9c-6051-48fa-b744-25c9f156722b,RELATED_TO
bccdd3b7-00c8-4115-9519-ef7cdbbd0fc3,6,保护人身安全和财产安全是维护社会安全稳定的重要措施,1.0,4,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],3b522f9c-6051-48fa-b744-25c9f156722b,f4235469-9f3c-4c9b-8ef7-fddd4a3eca53,RELATED_TO
036b934a-623f-4372-acd7-c1cdf78f6cc4,7,厂房建筑的设计和建造需达到标准化要求，以便于工业化生产,9.0,7,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],d5a7acab-567d-456b-bba7-0c597446ea7d,23f13b63-262b-4a88-8557-0e3287898878,RELATED_TO
5d9121b2-fd8e-4a1d-b91e-dab81d4ebf1d,8,厂房建筑的构配件和组合件需实现系列化生产，以提高生产效率,8.0,6,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],4afe48f9-5b99-4925-82a9-9d9374a736cd,23f13b63-262b-4a88-8557-0e3287898878,RELATED_TO
1fca965b-e84c-4d1d-8a50-5c31d833e30e,9,厂房建筑的设计和施工需实现模数协调，以确保构配件和组合件的标准化和系列化,1.0,10,['02683b2429fbdf4758d62de70a1253d86af511b51bb58812af54b08b8f880f87bd93a8cf720c2cfea381f92152b6a4cfa6fe9dde1dedef11d0b05d4518ccc7a8'],a00df813-54e1-4fe6-8139-2c5e44515905,23f13b63-262b-4a88-8557-0e3287898878,RELATED_TO
